Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (Mo),Memory Usage (%),Disk Read (Mo/s),Disk Write (Mo/s),Network (Ko/s),CPU Temperature (°C),Encrypted Files,Encrypted Disk Usage (%),Encryption Speed (o/s)
19:59:01.070,197.07,0.5,628.57,21.3,0.0,0.0,0.0,64.7,1417,39.27,0
19:59:02.250,198.25,0.0,628.82,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:03.360,199.36,0.0,629.34,21.3,0.0,0.01,0.0,64.2,1417,39.27,0
19:59:04.480,200.48,0.0,629.59,21.3,0.0,0.0,0.0,64.2,1417,39.27,0
19:59:05.590,201.59,0.0,629.59,21.3,0.0,0.0,0.0,64.2,1417,39.27,0
19:59:06.710,202.71,0.0,629.59,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:07.890,203.89,0.0,629.83,21.3,0.0,0.0,0.0,64.2,1417,39.27,0
19:59:09.000,205.0,0.0,630.08,21.3,0.0,0.09,0.0,64.2,1417,39.27,0
19:59:10.120,206.12,0.0,630.32,21.3,0.0,0.0,0.0,64.7,1417,39.27,0
19:59:11.230,207.23,0.5,630.57,21.3,0.0,0.0,0.0,64.2,1417,39.27,0
19:59:12.340,208.34,0.0,630.56,21.3,0.0,0.02,0.0,63.3,1417,39.27,0
19:59:13.520,209.52,0.0,630.56,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:14.640,210.64,0.0,630.81,21.3,0.0,0.0,0.0,64.7,1417,39.27,0
19:59:15.750,211.75,0.0,630.81,21.3,0.0,0.0,0.0,64.2,1417,39.27,0
19:59:16.870,212.87,0.0,630.81,21.3,0.0,0.0,0.0,63.3,1417,39.27,0
19:59:17.980,213.98,0.0,631.3,21.3,0.0,0.0,0.0,63.3,1417,39.27,0
19:59:19.150,215.15,1.0,631.3,21.3,0.0,1.79,0.0,62.8,1417,39.27,0
19:59:20.260,216.26,0.0,631.29,21.3,0.0,0.01,0.0,63.7,1417,39.27,0
19:59:21.380,217.38,0.0,631.29,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:22.490,218.49,0.5,631.29,21.3,0.0,0.0,0.0,64.2,1417,39.27,0
19:59:23.610,219.61,0.0,631.29,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:24.790,220.79,0.0,631.05,21.3,0.0,0.0,0.0,63.3,1417,39.27,0
19:59:25.900,221.9,0.0,631.05,21.3,0.0,0.0,0.0,63.3,1417,39.27,0
19:59:27.020,223.02,0.5,631.05,21.3,0.0,0.0,0.0,62.8,1417,39.27,0
19:59:28.130,224.13,0.0,631.05,21.3,0.0,0.0,0.0,62.8,1417,39.27,0
19:59:29.250,225.25,0.0,631.05,21.3,0.0,0.0,0.0,62.8,1417,39.27,0
19:59:30.430,226.43,0.0,631.05,21.3,0.0,0.0,0.0,63.3,1417,39.27,0
19:59:31.540,227.54,0.0,631.05,21.3,0.0,0.0,0.0,62.8,1417,39.27,0
19:59:32.650,228.65,0.0,631.05,21.3,0.0,0.0,0.0,62.3,1417,39.27,0
19:59:33.770,229.77,0.0,631.04,21.3,0.0,0.0,0.0,62.8,1417,39.27,0
19:59:34.880,230.88,0.0,631.04,21.3,0.0,0.04,0.0,63.3,1417,39.27,0
19:59:36.060,232.06,0.0,631.04,21.3,0.0,0.0,0.0,63.3,1417,39.27,0
19:59:37.180,233.18,0.0,631.04,21.3,0.0,0.0,0.0,63.7,1417,39.27,0
19:59:38.290,234.29,0.0,631.03,21.3,0.0,0.02,0.0,62.3,1417,39.27,0
19:59:39.410,235.41,0.0,631.03,21.3,0.0,0.0,0.0,62.8,1417,39.27,0
19:59:40.520,236.52,0.0,631.03,21.3,0.0,0.0,0.0,61.3,1417,39.27,0
