Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
09:36:45.000,39.0,39.0,39.0,39.0,39.0,3.2,0.8,0.0,0.0
09:36:48.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:36:51.000,39.0,39.0,39.0,39.0,40.0,3.1,0.7,0.0,0.0
09:36:54.000,39.0,39.0,39.0,39.0,39.0,3.4,1.0,0.0,0.0
09:36:57.000,38.0,38.0,38.0,38.0,39.0,3.5,1.0,0.0,0.0
09:37:00.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0
09:37:03.000,44.0,44.0,44.0,45.0,45.0,3.3,0.9,0.0,0.0
09:37:06.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0
09:37:09.000,38.0,38.0,37.0,37.0,39.0,3.2,0.8,0.0,0.0
09:37:12.000,41.0,41.0,41.0,41.0,41.0,3.1,0.7,0.0,0.0
09:37:15.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0
09:37:18.000,41.0,41.0,41.0,41.0,41.0,3.3,0.9,0.0,0.0
