Timestamp,Voltage (V),Voltage Adjusted (V),Current (A),Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:47:12.889,2.43,0.02,0.17,0.86,132.101,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:13.876,2.44,0.03,0.27,1.35,133.088,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:14.865,2.45,0.04,0.37,1.84,134.077,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:15.884,2.43,0.02,0.17,0.86,135.096,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:16.869,2.44,0.02,0.22,1.11,136.081,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:17.895,2.43,0.02,0.17,0.86,137.107,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:18.885,2.44,0.03,0.27,1.35,138.097,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:19.873,2.46,0.04,0.42,2.09,139.085,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:20.890,2.44,0.02,0.22,1.11,140.102,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:21.874,2.43,0.02,0.17,0.86,141.086,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:22.898,2.43,0.02,0.17,0.86,142.11,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:23.884,2.44,0.03,0.27,1.35,143.096,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:47:24.873,2.45,0.03,0.32,1.6,144.085,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
