Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:34:21.872,44.8,30.0,2.64401,141.585,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:23.098,43.3,30.0,2.64871,142.811,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:24.329,44.3,25.0,2.65761,144.042,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:25.562,43.3,30.0,2.65316,145.275,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:26.792,43.8,30.0,2.65336,146.505,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:28.028,44.3,30.0,2.64391,147.741,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:29.259,44.3,30.0,2.65176,148.972,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:30.486,43.8,25.0,2.64621,150.199,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:31.721,43.8,22.2,2.64326,151.434,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:32.950,44.3,22.2,2.64045,152.663,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:34.184,44.3,22.2,2.63435,153.897,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:35.413,44.8,22.2,2.64351,155.126,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:36.652,44.3,30.0,2.6372,156.365,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:37.883,43.8,30.0,2.639,157.596,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:39.111,45.2,30.0,2.64921,158.824,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:40.350,44.3,22.2,2.65476,160.063,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:41.577,44.8,30.0,2.65616,161.29,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:42.808,44.3,12.5,2.65596,162.521,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:44.041,44.3,30.0,2.65041,163.754,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:45.269,44.3,22.2,2.62625,164.982,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:46.501,44.3,22.2,2.6294,166.214,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:47.730,44.3,22.2,2.62635,167.443,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:48.958,44.8,30.0,2.6406,168.671,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:50.197,43.8,22.2,2.6356,169.91,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:51.424,45.2,22.2,2.63245,171.137,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:52.656,44.3,33.3,2.6419,172.369,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:53.887,44.3,25.0,2.6344,173.6,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:55.119,44.3,25.0,2.64811,174.832,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:56.352,44.3,22.2,2.65016,176.065,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:57.580,45.2,30.0,2.64996,177.293,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:34:58.805,44.3,22.2,2.65331,178.518,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:00.033,44.3,22.2,2.64741,179.746,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:01.269,44.8,22.2,2.66241,180.982,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:02.461,45.7,50.0,2.65821,182.174,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:03.653,44.8,0.0,2.69277,183.366,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:04.846,46.2,25.0,2.66891,184.559,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:06.038,45.7,40.0,2.68542,185.751,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:35:07.266,45.2,37.5,2.68937,186.979,Attack,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
