Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
237.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
238.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
239.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
240.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
241.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
242.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
243.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
244.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
245.0,44.303,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
246.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
247.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
248.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
249.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
250.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
251.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
252.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
253.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
254.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
255.0,43.816,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
256.0,41.381,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
257.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
258.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
259.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
260.0,41.381,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
261.0,43.816,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
262.0,43.816,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
263.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
264.0,43.329,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
265.0,42.355,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
266.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
267.0,42.842,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
268.0,41.868,Attack,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
